Seeds: [670487, 116739, 26225, 777572, 288389, 256787, 234053, 146316, 772246, 107473, 709570, 776646, 935518, 571858, 91161, 619176, 442417, 33326, 31244, 98246, 229258, 243962, 529903, 631262, 27824, 588508, 208496, 750800, 681453, 735392, 571412, 439898, 231148, 471029, 617889, 291704, 848749, 911527, 6814, 795667, 844962, 167414, 732052, 443143, 356778, 291369, 163032, 225772, 800581, 352944, 107175, 97251, 398382, 101414, 376417, 888662, 360663, 633052, 277370, 846335, 45561, 765179, 481741, 562275, 130889, 967096, 396922, 82627, 578856, 307419, 869693, 659176, 648564, 928463, 903565, 379201, 605397, 201629, 738797, 72933, 48050, 693384, 238968, 810620, 303445, 83667, 896865, 244098, 908573, 105907, 398591, 291476, 475435, 666563, 874628, 382554, 170555, 388162, 372528, 219684]
League Level: 5
Total Games: 100
Total Steps: 100

Results:
Game 0: Scores=[0, 0]
Game 1: Scores=[0, 0]
Game 2: Scores=[0, 1753]
Game 3: Scores=[910, 1116]
Game 4: Scores=[0, 1001]
Game 5: Scores=[0, 6315]
Game 6: Scores=[0, 0]
Game 7: Scores=[0, 846]
Game 8: Scores=[0, 0]
Game 9: Scores=[0, 845]
Game 10: Scores=[0, 0]
Game 11: Scores=[1686, 4225]
Game 12: Scores=[0, 0]
Game 13: Scores=[0, 0]
Game 14: Scores=[0, 3214]
Game 15: Scores=[0, 297]
Game 16: Scores=[0, 950]
Game 17: Scores=[0, 1410]
Game 18: Scores=[0, 0]
Game 19: Scores=[546, 1286]
Game 20: Scores=[180, 1996]
Game 21: Scores=[0, 0]
Game 22: Scores=[1895, 2640]
Game 23: Scores=[0, 4855]
Game 24: Scores=[0, 0]
Game 25: Scores=[0, 2392]
Game 26: Scores=[0, 0]
Game 27: Scores=[0, 930]
Game 28: Scores=[0, 3948]
Game 29: Scores=[0, 0]
Game 30: Scores=[0, 0]
Game 31: Scores=[0, 0]
Game 32: Scores=[0, 0]
Game 33: Scores=[0, 0]
Game 34: Scores=[0, 0]
Game 35: Scores=[186, 837]
Game 36: Scores=[0, 0]
Game 37: Scores=[0, 0]
Game 38: Scores=[0, 0]
Game 39: Scores=[0, 0]
Game 40: Scores=[0, 0]
Game 41: Scores=[736, 1028]
Game 42: Scores=[0, 1128]
Game 43: Scores=[0, 0]
Game 44: Scores=[0, 1840]
Game 45: Scores=[0, 0]
Game 46: Scores=[0, 0]
Game 47: Scores=[0, 3484]
Game 48: Scores=[0, 490]
Game 49: Scores=[0, 0]
Game 50: Scores=[0, 0]
Game 51: Scores=[0, 0]
Game 52: Scores=[0, 0]
Game 53: Scores=[0, 0]
Game 54: Scores=[0, 768]
Game 55: Scores=[0, 2278]
Game 56: Scores=[0, 0]
Game 57: Scores=[0, 0]
Game 58: Scores=[0, 3257]
Game 59: Scores=[0, 930]
Game 60: Scores=[184, 1380]
Game 61: Scores=[0, 0]
Game 62: Scores=[0, 0]
Game 63: Scores=[0, 0]
Game 64: Scores=[0, 1380]
Game 65: Scores=[0, 0]
Game 66: Scores=[0, 2622]
Game 67: Scores=[0, 0]
Game 68: Scores=[0, 0]
Game 69: Scores=[0, 0]
Game 70: Scores=[1771, 1116]
Game 71: Scores=[0, 0]
Game 72: Scores=[0, 0]
Game 73: Scores=[0, 0]
Game 74: Scores=[0, 0]
Game 75: Scores=[0, 0]
Game 76: Scores=[0, 0]
Game 77: Scores=[0, 0]
Game 78: Scores=[0, 5928]
Game 79: Scores=[0, 0]
Game 80: Scores=[0, 0]
Game 81: Scores=[0, 0]
Game 82: Scores=[0, 588]
Game 83: Scores=[890, 720]
Game 84: Scores=[0, 2116]
Game 85: Scores=[0, 2054]
Game 86: Scores=[0, 0]
Game 87: Scores=[0, 1980]
Game 88: Scores=[0, 1327]
Game 89: Scores=[0, 0]
Game 90: Scores=[0, 0]
Game 91: Scores=[0, 0]
Game 92: Scores=[4653, 6670]
Game 93: Scores=[0, 1431]
Game 94: Scores=[2063, 1638]
Game 95: Scores=[0, 0]
Game 96: Scores=[0, 0]
Game 97: Scores=[0, 0]
Game 98: Scores=[0, 1128]
Game 99: Scores=[0, 1868]

Timing:
Warmup time: 3.299s
Reset time: 0.170s
Step time: 1.029s
Total time: 1.199s
Steps per second: 9719.6
